Change Request,Description,CR type,Process,WF type,Date completed,Month
100003253,A511 Create DPI MTOM5920A CSC UPSM,Make,Production master data,G15,23-Jul-25,Jul-25
857836,A411 BoM & Recipe creation,Make,Production master data,Mass upload,23-Jul-25,Jul-25
867245,VERIFY FINP CR 860684,MDG,Development,LCM WF,24-Jul-25,Jul-25
869568,Remove_YMM_YGP_CLASS,MDG,Production & launch,YMUX0033,24-Jul-25,Jul-25
867802,VERIFY FIN CR 861692,MDG,Development,LCM WF,24-Jul-25,Jul-25
869504,AFF_ZFIN_Update_P30_StatusD1,MDG,Maintanence,YMP30_16,24-Jul-25,Jul-25
863657,Create FINP CN NMRMC0163300,MDG,Material master creation,LCM WF,24-Jul-25,Jul-25
100003255,A511 Activate DPI MTOM5920A CSC UPSM,Make,Production master data,G12,24-Jul-25,Jul-25
100003260,A514 Create/Update NPPO Recipes,Make,Production master data,G37,24-Jul-25,Jul-25
100003252,A511 Update DPI BFVT6654A CSC DNSM,Make,Production master data,G12,24-Jul-25,Jul-25
100003198,MDG CR 860952,Make,Production master data,R10,24-Jul-25,Jul-25
100003236,MDG CR 861692,Make,Production master data,R10,24-Jul-25,Jul-25
862725,A411 BoM & Recipe creation,Make,Production master data,Mass upload,24-Jul-25,Jul-25
863645,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,25-Jul-25,Jul-25
900003925,Update DIR with new material numbers,MDG,Maintanence,CR 999,25-Jul-25,Jul-25
870078,VERIFY FIN CR 861751,MDG,Development,LCM WF,25-Jul-25,Jul-25
873372,TOLL_ZBUL_Ready for Execution_P30 (SEMP)_Plant 1001,MDG,Production & launch,YMP30_03,25-Jul-25,Jul-25
870118,VERIFY ZFIN CR868159,MDG,Development,LCM WF,25-Jul-25,Jul-25
864075,VERIFY FINP CR 857474,MDG,Development,LCM WF,25-Jul-25,Jul-25
900003943,New DIR QE-140513/CA-191369,MDG,Maintanence,CR 999,25-Jul-25,Jul-25
867158,Create FINP UA NMRMC0163336,MDG,Material master creation,LCM WF,25-Jul-25,Jul-25
873451,VERIFY FINP CR 863604,MDG,Development,LCM WF,25-Jul-25,Jul-25
100003271,MDG CR 861751,Make,Production master data,R10,25-Jul-25,Jul-25
100003290,"	MDG CR869893",Make,Production master data,R10,25-Jul-25,Jul-25
100003258,A511 Create DPI MPRR CSC DNSM,Make,Production master data,G15,25-Jul-25,Jul-25
100003209,A511 Mass Load/Activate/Edit sNRP1 CPMF,Make,Production master data,G12,25-Jul-25,Jul-25
867158,A411 BoM & Recipe creation,Make,Production master data,Mass upload,25-Jul-25,Jul-25
873887,VERIFY FINP CR862135,MDG,Development,LCMWF,28-Jul-25,Jul-25
868003,DEPLOY ZFIN CR867735,MDG,Development,LCMWF,28-Jul-25,Jul-25
873756,VERIFY FINP CR873367,MDG,Development,LCMWF,28-Jul-25,Jul-25
878699,VERIFY FINP CR867988,MDG,Development,LCMWF,28-Jul-25,Jul-25
878670,VERIFY FINP CR 867826,MDG,Development,LCMWF,28-Jul-25,Jul-25
878798,VERIFY FINP CR 870044,MDG,Development,LCMWF,28-Jul-25,Jul-25
862613,AFF_ZFIN_Execution-Ready_P30_Plant 2800,MDG,Production & launch,YMP30_21,28-Jul-25,Jul-25
862637,AFF_ZFIN_Execution-Ready_P30_Plant 2800,MDG,Production & launch,YMP30_21,28-Jul-25,Jul-25
878967,VERIFY FINP CR 868049,MDG,Development,LCMWF,28-Jul-25,Jul-25
870093,Create FINP PH NMRMC0163334,MDG,Material master creation,LCMWF,28-Jul-25,Jul-25
100003311,MDG CR867747 Large,Make,Production master data,R10,28-Jul-25,Jul-25
100003248,MDG CR867747 Small,Make,Production master data,R10,28-Jul-25,Jul-25
100003316,A511 Recipe Cevostamab 104mg CPMF,Make,Production master data,G15,28-Jul-25,Jul-25
100003287,MDG CR# 870044,Make,Production master data,R10,28-Jul-25,Jul-25
100003318,A511 Revised NLRP1568A Dil CPMF,Make,Production master data,G15,28-Jul-25,Jul-25
867445,A411 BoM & Recipe,Make,Production master data,Mass upload,28-Jul-25,Jul-25
200002156,Update INP 16779,MDG,Quality CR,YG4,29-Jul-25,Jul-25
870094,Create FINP ZA NMRMC0163344,MDG,Material master creation,LCMWF,29-Jul-25,Jul-25
870113,Create FINP ZA NMRMC0163345,MDG,Material master creation,LCMWF,29-Jul-25,Jul-25
880500,PZ Change Alternative BUOM 11034509,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
873206,Create FINP ID NMRMC0163355,MDG,Material master creation,LCMWF,29-Jul-25,Jul-25
873366,Create FINP MM NMRMC0163354,MDG,Material master creation,LCMWF,29-Jul-25,Jul-25
880049,PZ Change Alternative BUOM 11031364,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
880050,PZ Change Alternative BUOM 11031366,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
880123,PZ Change Alternative BUOM 11031349,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
880133,PZ Change Alternative BUOM 11031368,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
880142,PZ Change Alternative BUOM 11031367,MDG,Production & launch,YMUX0033,29-Jul-25,Jul-25
868007,A411 BoM & Recipe,Make,Production master data,Mass upload,29-Jul-25,Jul-25
868067,A411 BoM & Recipe,Make,Production master data,Mass upload,29-Jul-25,Jul-25
868083,A411 BoM & Recipe,Make,Production master data,Mass upload,29-Jul-25,Jul-25
100003350,A511 Update recipe Cevos 104 mg CPMF,Make,Production master data,G15,29-Jul-25,Jul-25
870334,A411 BoM & Recipe,Make,Production master data,Mass upload,29-Jul-25,Jul-25
100003361,A511 Update DPI MTOM5920A CSC UPSM,Make,Production master data,G15,29-Jul-25,Jul-25
870998,A411 BoM & Recipe,Make,Production master data,Mass upload,29-Jul-25,Jul-25
882909,AFF_ZFIN_Update_P30_Plant_2640_MRPdata,MDG,Maintanence,YMP30_16,30-Jul-25,Jul-25
878983,P30_Plant_2830_2850_Extension,MDG,Plant extension,YMP30_16,30-Jul-25,Jul-25
881148,VERIFY ZFIN CR879294,MDG,Development,LCM WF,30-Jul-25,Jul-25
880572,TOLL_ZFIN_Update non-GMP_P30_Plant 1001,MDG,Maintanence,YMP30_08,30-Jul-25,Jul-25
880941,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,30-Jul-25,Jul-25
881294,DEPLOY FINP CR870219,MDG,Development,LCM WF,30-Jul-25,Jul-25
883137,VERIFY FINP CR 867793,MDG,Development,LCM WF,30-Jul-25,Jul-25
883293,VERIFY FINP CR 870286,MDG,Development,LCM WF,30-Jul-25,Jul-25
100003327,A513: MRA G6 Create MMR Resin/Cassette,Make,Production master data,G25,30-Jul-25,Jul-25
100003351,A511 Update Recipe Tron Resupply CPMF,Make,Production master data,G15,30-Jul-25,Jul-25
100003345,A511 Create DPI aCD5 CSC DNSM,Make,Production master data,G15,30-Jul-25,Jul-25
100003296,MDG CR 873135,Make,Production master data,R10,30-Jul-25,Jul-25
100003379,MDG CR 880361,Make,Production master data,R10,30-Jul-25,Jul-25
100003380,MDG CR 874544,Make,Production master data,R10,30-Jul-25,Jul-25
883293,VERIFY FINP CR 870286,MDG,Development,LCM WF,31-Jul-25,Jul-25
883194,VERIFY ZFIN CR 873325,MDG,Development,LCM WF,31-Jul-25,Jul-25
879236,Maintain HS Code & CoO,MDG,Production & launch,YMP30_01,31-Jul-25,Jul-25
881150,Create FINP AU NMRMC0163367,MDG,Material master creation,LCM WF,31-Jul-25,Jul-25
881294,DEPLOY FINP CR870219,MDG,Development,LCM WF,31-Jul-25,Jul-25
882770,Create FINP PL NMRMC0163373,MDG,Material master creation,LCM WF,31-Jul-25,Jul-25
882832,Create FINP IE NMRMC0163375,MDG,Material master creation,LCM WF,31-Jul-25,Jul-25
900004062,10213745 associated with incorrect DIR,MDG,Maintanence,CR 999,31-Jul-25,Jul-25
883338,Create FINP IE NMRMC0163374,MDG,Material master creation,LCM WF,31-Jul-25,Jul-25
883404,Create FINP PL NMRMC0163372,MDG,Material master creation,LCM WF,31-Jul-25,Jul-25
885095,AFF_ZFIN_Update_P30_Plant_2640_MRPdata,MDG,Maintanence,YMP30_16,31-Jul-25,Jul-25
885111,AFF_ZFIN_Update_P30_Plant_2640_MRPdata,MDG,Maintanence,YMP30_16,31-Jul-25,Jul-25
900004082,QE-162869 / CA-227428 DIR Update,MDG,Maintanence,CR 999,31-Jul-25,Jul-25
100003297,A514 Create Batch Conversion Recipe,Make,Production master data,G31,31-Jul-25,Jul-25
100003392,A514 Activate recipe 50014196  QE-169905,Make,Production master data,G36,31-Jul-25,Jul-25
883231,Create FINP IN NMRMC0163363,MDG,Material master creation,LCM WF,05-Aug-25,Aug-25
882777,Create FINP HR NMRMC0163361,MDG,Material master creation,LCM WF,05-Aug-25,Aug-25
892475,A513: MRA G6 Buff Status 40,MDG,Production & launch,YMUX001,05-Aug-25,Aug-25
892476,A513: MRA G6 Buff Status 40,MDG,Production & launch,YMUX001,05-Aug-25,Aug-25
892477,A513: MRA G6 Buff Status 40,MDG,Production & launch,YMUX001,05-Aug-25,Aug-25
893031,A511 Update ZINT MPRR CSC DNSM,MDG,Production & launch,YMUX001,05-Aug-25,Aug-25
885581,VERIFY FINP CR 881327,MDG,Development,LCM WF,05-Aug-25,Aug-25
893595,CMO_ZFIN_UpdateNonGMP_P30_Plant_1001_MRPdata,MDG,Maintanence,YMP30_08,05-Aug-25,Aug-25
879292,AFF_ZFIN_Execution-Ready_P30_Plant 4060 Decentral,MDG,Production & launch,YMP30_21,05-Aug-25,Aug-25
893588,AFF_ZFIN_Update_P30_Plant_2990_MRPdata,MDG,Maintanence,YMP30_16,05-Aug-25,Aug-25
893797,AFF_ZFIN_Update_P30_Plant_2670_MRPdata,MDG,Maintanence,YMP30_16,05-Aug-25,Aug-25
882804,AFF_ZFIN_Execution-Ready_P30_Plant 2980,MDG,Production & launch,YMP30_21,05-Aug-25,Aug-25
900004092,CA-206877/QE-150542,MDG,Maintanence,CR 999,05-Aug-25,Aug-25
900003829,DIR 10000121486 QE-112846/CA-159174,MDG,Maintanence,CR 999,05-Aug-25,Aug-25
893906,TOLL_ZFIN_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,05-Aug-25,Aug-25
900004111,update DIR with new Material Number,MDG,Maintanence,CR 999,05-Aug-25,Aug-25
100003336,A511 CT868 Empty Vial Recipe Load,Make,Production master data,G15,05-Aug-25,Aug-25
100003410,A511 Update Existing Hyaluronidase,Make,Production master data,G15,05-Aug-25,Aug-25
100003396,A513: Xolair 20L Recipe Update,Make,Production master data,G24,05-Aug-25,Aug-25
100003394,A513: US MMR Description/Duration Update,Make,Production master data,G23,05-Aug-25,Aug-25
100003411,A513: Avastin BOM Updates QE-164769,Make,Production master data,G23,05-Aug-25,Aug-25
100003424,A511 Recipe Update to Hyaluronidase,Make,Production master data,G15,05-Aug-25,Aug-25
895790,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895882,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895885,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895883,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895884,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895881,TOLL_ZSEM_Update GMP_P30_Plant 1001,MDG,Maintanence,YMP30_07,06-Aug-25,Aug-25
895697,"ZAPI_Flag Post to Insp Stock_P55, 1105",MDG,Maintanence,YMP30_08,06-Aug-25,Aug-25
895898,TOLL_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,06-Aug-25,Aug-25
895890,TOLL_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,06-Aug-25,Aug-25
895947,TOLL_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,06-Aug-25,Aug-25
898014,PZ: set Max. Lot Size of 11005914 to 25L,MDG,Production & launch,YMUX0031,06-Aug-25,Aug-25
898049,PZ: set Max. Lot Size of 11012391 to 25L,MDG,Production & launch,YMUX0031,06-Aug-25,Aug-25
100003423,A514 Update NPPO BOMs,Make,Production master data,G36,06-Aug-25,Aug-25
100003396,A513: Xolair 20L Recipe Update,Make,Production master data,G36,06-Aug-25,Aug-25
100003440,Create New Recipe,Make,Production master data,G50,06-Aug-25,Aug-25
897555,Set Max. Lot Size of 10214400 to 12100L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
898045,PZ: Set Max. Lot Size of 10234164 to 2650L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
897998,PZ: Set Max. Lot Size of 11009525 to 13100L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
898062,PZ: Set Max. Lot Size to 10500L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
898047,PZ: Set Max. Lot Size to 17000L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
898013,PZ: set Max. Lot Size of 10234996 to 17000L,MDG,Production & launch,YMUX0031,07-Aug-25,Aug-25
900004030,DIR 10000008659 QE-131061/CA-236241,MDG,Maintanence,CR 999,07-Aug-25,Aug-25
898185,Enrich_J331_P30_WF_25206,MDG,Material master creation,YMUX0033,07-Aug-25,Aug-25
25206,11033312 MDS 10,MDG,Material master creation,P30 WF,07-Aug-25,Aug-25
898125,Enrich J231_P30 WF 25208,MDG,Production & launch,YMUX0033,07-Aug-25,Aug-25
900004012,QE-131061/CA-236241,MDG,Maintanence,CR 999,07-Aug-25,Aug-25
898275,MM Updates_J431 & J531_P30 WF 25207,MDG,Production & launch,YMUX0033,07-Aug-25,Aug-25
898500,A513: MRA G6 Buff Lot Size Update,MDG,Maintanence,YMUX001,07-Aug-25,Aug-25
898542,A513: MRA G6 Buff Lot Size Update,MDG,Maintanence,YMUX001,07-Aug-25,Aug-25
898549,A513: MRA G6 Buff Lot Size Update,MDG,Maintanence,YMUX001,07-Aug-25,Aug-25
100003440,Create New Recipe,Make,Production master data,G50,07-Aug-25,Aug-25
100003416,A513: MRA G6 20L Solera Recipe Updates,Make,Production master data,G23,07-Aug-25,Aug-25
100003441,A514 Update unused NPPO PVs,Make,Production master data,G37,07-Aug-25,Aug-25
100003427,A514 Update Cathflo Planning recipes,Make,Production master data,G35,07-Aug-25,Aug-25
100003431,A511 Activate 1 recipe,Make,Production master data,G15,07-Aug-25,Aug-25
100003432,A511 Update DPI BOM Cevos 1.2MG,Make,Production master data,G15,07-Aug-25,Aug-25
900004150,11033312_A411_Update_WF_25206,MDG,Production & launch,CR 999,08-Aug-25,Aug-25
893572,AFF_ZFIN_Execution-Ready_P30_Plant 2840,MDG,Production & launch,YMP30_21,08-Aug-25,Aug-25
898143,AFF_ZFIN_Execution-Ready_P30_Plant 2850,MDG,Production & launch,YMP30_21,08-Aug-25,Aug-25
900996,Create SEMP NMRMC0163405,MDG,Material master creation,LCM WF,08-Aug-25,Aug-25
900928,U[date BoM as per the attachment,MDG,Maintanence,YMP30_08,08-Aug-25,Aug-25
900975,VERIFY FINP CR 900791,MDG,Development,LCM WF,08-Aug-25,Aug-25
900980,AFF_ZFIN_Execution-Ready_P30_Plant 2660,MDG,Production & launch,YMP30_21,08-Aug-25,Aug-25
100003450,A514 New Afimki Poly Prep recipe,Make,Production master data,G31,08-Aug-25,Aug-25
100003433,A517 Recipe Active GR DTOM4810A,Make,Production master data,G15,08-Aug-25,Aug-25
900996,Create SEMP NMRMC0163405,MDG,Material master creation,LCM WF,11-Aug-25,Aug-25
900004163,P57_Plant1520_MRPdata,MDG,Production & launch,CR 999,11-Aug-25,Aug-25
893543,AFF_ZFIN_Execution-Ready_P30_Plant 2676,MDG,Production & launch,YMP30_21,11-Aug-25,Aug-25
898164,AFF_ZFIN_Execution-Ready_P30_Plant 2830,MDG,Production & launch,YMP30_21,11-Aug-25,Aug-25
901210,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,11-Aug-25,Aug-25
900004186,QE-159090 CA-226202,MDG,Maintanence,CR 999,11-Aug-25,Aug-25
900004147,J031_PIR and SL creation,MDG,Production & launch,CR 999,11-Aug-25,Aug-25
100003445,A511 Activate Recipes CD20 CSC CB,Make,Production master data,G15,11-Aug-25,Aug-25
100003461,A515 Create PPS recipe for 11037767,Make,Production master data,G45,11-Aug-25,Aug-25
100003435,A517 Link XSteps DTOM4810A RSDC,Make,Production master data,G16,11-Aug-25,Aug-25
900980,AFF_ZFIN_Execution-Ready_P30_Plant 2660,MDG,Production & launch,YMP30_21,12-Aug-25,Aug-25
907298,Lot Size change from W4 to 12 weeks,MDG,Production & launch,YMUX0031,12-Aug-25,Aug-25
907299,Lot Size change from W4 to 12 weeks,MDG,Production & launch,YMUX0031,12-Aug-25,Aug-25
900004189,CA-174850 / QE-126257,MDG,Maintanence,CR 999,12-Aug-25,Aug-25
900004028,Please create new DIR and link 11037252,MDG,Maintanence,CR 999,12-Aug-25,Aug-25
900004148,Update DIR with new material numbers,MDG,Maintanence,CR 999,12-Aug-25,Aug-25
900004151,Update cross plant/Xplant status to 50,MDG,Production & launch,CR 999,12-Aug-25,Aug-25
200002259,12047985_ Bromazepam IRS,MDG,Quality CR,YQ4,12-Aug-25,Aug-25
200002271,12040485_ LEVODOPA IRS,MDG,Quality CR,YQ4,12-Aug-25,Aug-25
200002270,12039810_ CAPECITABINE IRS,MDG,Quality CR,YQ4,12-Aug-25,Aug-25
907623,Create FINP BA NMRMC0163420,MDG,Material master creation,LCM WF,12-Aug-25,Aug-25
908081,VERIFY FIN CR 907347,MDG,Development,LCM WF,12-Aug-25,Aug-25
907391,Total Shelf Life Update for Avastin 400mg FOC,MDG,Production & launch,YMUX0033,12-Aug-25,Aug-25
907856,AFF_ZFIN_Execution-Ready_P30_Plant 2980,MDG,Production & launch,YMP30_21,12-Aug-25,Aug-25
100003406,A511 Cevos 1.2MG Recipe Update CPMF,Make,Production master data,G15,12-Aug-25,Aug-25
100003405,A511 Create DPI CIT Backbone CSC DNSM,Make,Production master data,G15,12-Aug-25,Aug-25
907391,Total Shelf Life Update for Avastin 400mg FOC,MDG,Production & launch,YMUX0033,13-Aug-25,Aug-25
907856,AFF_ZFIN_Execution-Ready_P30_Plant 2980,MDG,Production & launch,YMP30_21,13-Aug-25,Aug-25
909496,VERIFY ZSEM CR 897025,MDG,Development,LCM WF,13-Aug-25,Aug-25
909730,VERIFY ZFIN CR 909387,MDG,Production & launch,YMP30_21,13-Aug-25,Aug-25
909743,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,13-Aug-25,Aug-25
909870,Planning ready 909730,MDG,Material master creation,YMUX0033,13-Aug-25,Aug-25
909833,AFF_ZFIN_Update_P57_Plant_1514,MDG,Maintanence,YMP30_16,13-Aug-25,Aug-25
909716,P30_Plant 2690_Extension,MDG,Plant extension,YMP30_16,13-Aug-25,Aug-25
100003437,A514 Update Recipe 11007220,Make,Production master data,G36,13-Aug-25,Aug-25
100003464,A514 Update Planning recipes,Make,Production master data,G35,13-Aug-25,Aug-25
100003455,A513: DS Relationship Recipe Update 1,Make,Production master data,G23,13-Aug-25,Aug-25
909879,Create FINP NO NMRMC0163392,MDG,Material master creation,LCM WF,14-Aug-25,Aug-25
910450,VERIFY FINP CR 909877,MDG,Development,LCM WF,14-Aug-25,Aug-25
200002278,12039534_ BENSERAZIDE HCL IRS,MDG,Quality CR,YQ4,14-Aug-25,Aug-25
200002277,12039438_ MYCOPHENOLIC IRS,MDG,Quality CR,YQ4,14-Aug-25,Aug-25
911058,VERIFY FINP CR 910353,MDG,Development,LCM WF,14-Aug-25,Aug-25
911523,VERIFY FINP CR 910224,MDG,Development,LCM WF,14-Aug-25,Aug-25
911670,R4E_F331_F342_ES_ACN553887_CC_1609,MDG,Production & launch,YMFG002,14-Aug-25,Aug-25
911673,R4E_F331_F342_ES_ACN553886_CC_1609,MDG,Production & launch,YMFG002,14-Aug-25,Aug-25
900003238,create DIR,MDG,Maintanence,CR 999,14-Aug-25,Aug-25
100003522,A514 Update 10245872 Ops Desc,Make,Production master data,G35,14-Aug-25,Aug-25
100003489,A511 Activate DPI MTOM CSC DNSM,Make,Production master data,G15,14-Aug-25,Aug-25
100003510,A511 Activate DPI MTOM CSC DNSM,Make,Production master data,G15,14-Aug-25,Aug-25
911058,VERIFY FINP CR 910353,MDG,Development,LCM WF,15-Aug-25,Aug-25
900004223,Update DIR with new material number,MDG,Maintanence,CR 999,15-Aug-25,Aug-25
200002291,12052538_Carvedilol PRS,MDG,Quality CR,YQ4,15-Aug-25,Aug-25
200002292,12039850_BROMAZEPAM_MRS,MDG,Quality CR,YQ4,15-Aug-25,Aug-25
909743,CMO_ZFIN_Ready for Execution_P30 (FINP)_Plant 1001,MDG,Production & launch,YMP30_01,15-Aug-25,Aug-25
200002290,Update inspecion type,MDG,Quality CR,YG4,15-Aug-25,Aug-25
100003540,A514 Create Afimki Clin BkPk Recipe,Make,Production master data,G31,15-Aug-25,Aug-25
100003541,A511 Recipe Update Mosun ReFrz,Make,Production master data,G15,15-Aug-25,Aug-25
100003506,A514 Create Afimki Fill Recipe,Make,Production master data,G31,15-Aug-25,Aug-25
100003469,A514 Update MOSUN Pool BOM,Make,Production master data,G36,15-Aug-25,Aug-25
100003463,A515 Update BOM for 11036589,Make,Production master data,G43,15-Aug-25,Aug-25
100003516,A511 Prasi Thaw Refrz,Make,Production master data,G15,15-Aug-25,Aug-25
100003542,A511 Create DPI MPCD1138A WCB CSC CB,Make,Production master data,G15,15-Aug-25,Aug-25
922860,Create SEMP UNLAB NMRMC0163431,MDG,Material master creation,LCM WF,18-Aug-25,Aug-25
922850,TOll_ZFIN_UPDATE_NON-GMP_P55_Plant_1105_ALTBOM_UPDATE,MDG,Maintanence,,18-Aug-25,Aug-25
923042,AFF_ZFIN_Execution-Ready_P30_Plant 2655,MDG,Production & launch,YMP30_21,18-Aug-25,Aug-25
923166,TOLL_ZAPI_Lot Size Update_P55_1105,MDG,Maintanence,YMP30_08,18-Aug-25,Aug-25
923167,TOLL_ZAPI_Lot Size Update_P55_1105,MDG,Maintanence,YMP30_08,18-Aug-25,Aug-25
922850,TOll_ZFIN_UPDATE_NON-GMP_P55_Plant_1105_ALTBOM_UPDATE,MDG,Maintanence,,18-Aug-25,Aug-25
923167,TOLL_ZAPI_Lot Size Update_P55_1105,MDG,Maintanence,YMP30_08,18-Aug-25,Aug-25
923166,TOLL_ZAPI_Lot Size Update_P55_1105,MDG,Maintanence,YMP30_08,18-Aug-25,Aug-25
922937,Create FINP NZ NMRMC0163389,MDG,Material master creation,LCM WF,18-Aug-25,Aug-25
100003516,A511 Prasi Thaw Refrz,Make,Production master data,G15,18-Aug-25,Aug-25
100003459,A513: DS Relationship Recipe Update 2,Make,Production master data,G23,18-Aug-25,Aug-25
100003540,A514 Create Afimki Clin BkPk Recipe,Make,Production master data,G31,18-Aug-25,Aug-25
100003543,A515 Update Xsteps parameter 11036589,Make,Production master data,G46,18-Aug-25,Aug-25
923042,AFF_ZFIN_Execution-Ready_P30_Plant 2655,MDG,Production & launch,YMP30_21,19-Aug-25,Aug-25
925471,VERIFY ZFIN CR922917,MDG,Development,YMP30_21,19-Aug-25,Aug-25
928673,TOLL_ZFIN_Update non-GMP_P30_Plant 1001,MDG,Maintanence,YMP30_21,19-Aug-25,Aug-25
929439,Create SEMP UNLAB NMRMC0163407,MDG,Material master creation,LCM WF,19-Aug-25,Aug-25
100003517,A513: MRA G6 DS Recipe Update,Make,Production master data,G23,19-Aug-25,Aug-25
100003552,A514 Update 10210048 TEC ACN 546400,Make,Production master data,G36,19-Aug-25,Aug-25
100003564,Reassign XStep Template-Matl 11026553,Make,Production master data,R92,19-Aug-25,Aug-25
929439,Create SEMP UNLAB NMRMC0163407,MDG,Material master creation,LCM WF,20-Aug-25,Aug-25
930768,Create SEMP UNLAB NMRMC0163406,MDG,Material master creation,LCM WF,20-Aug-25,Aug-25
930812,Create FINP DK-IS NMRMC0163451,MDG,Material master creation,LCM WF,20-Aug-25,Aug-25
929527,Extend ZFIN to J331,MDG,Plant Extension,YMUX0034,20-Aug-25,Aug-25
900004273,QE-163011 CA-240765 update DIR,MDG,Maintanence,CR 999,20-Aug-25,Aug-25
932098,AFF_ZFIN_Affiliate_Update_P30_Plant 1400,MDG,Maintanence,YMP30_16,20-Aug-25,Aug-25
932099,AFF_ZFIN_Affiliate_Update_P30_Plant 1400,MDG,Maintanence,YMP30_16,20-Aug-25,Aug-25
932100,AFF_ZFIN_Affiliate_Update_P30_Plant 1400,MDG,Maintanence,YMP30_16,20-Aug-25,Aug-25
932113,AFF_ZFIN_Affiliate_Update_P30_Plant 1400,MDG,Maintanence,YMP30_16,20-Aug-25,Aug-25
932222,VERIFY ZFIN CR 931282,MDG,Development,LCM WF,20-Aug-25,Aug-25
932251,Extend ZFIN to A931,MDG,Plant extension,YMUX0034,21-Aug-25,Aug-25
932222,VERIFY ZFIN CR 931282,MDG,Development,LCM WF,21-Aug-25,Aug-25
932110,VERIFY FINP CR 929655,MDG,Development,LCM WF,21-Aug-25,Aug-25
932175,Extend ZFIN to A931,MDG,Plant extension,YMUX0034,21-Aug-25,Aug-25
935438,Material master update,MDG,Production & launch,YMUX0033,21-Aug-25,Aug-25
932185,Extend ZFIN to A931,MDG,Plant extension,YMUX0034,21-Aug-25,Aug-25
932239,Extend ZFIN to A931,MDG,Plant extension,YMUX0034,21-Aug-25,Aug-25
929449,Extend ZFIN to J331,MDG,Plant extension,YMUX0034,21-Aug-25,Aug-25
932287,VERIFY FINP CR 931176,MDG,Development,LCM WF,21-Aug-25,Aug-25
935130,Create SEMP NMRMC0163432,MDG,Material master creation,LCM WF,21-Aug-25,Aug-25
935884,CMO_ZSEM_Ready for Execution_P30 (SEMP)_Plant 1001,MDG,Production & launch,YMP30_03,21-Aug-25,Aug-25
900004152,Update SLOC- P98-1362 Mexico,MDG,Production & launch,CR 999,21-Aug-25,Aug-25
100003601,Create new resource and recipe,Make,Production master data,G50,21-Aug-25,Aug-25
935130,Create SEMP NMRMC0163432,MDG,Material master creation,LCM WF,25-Aug-25,Aug-25
939201,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939234,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939081,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939084,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939202,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939209,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939284,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939302,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939087,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939206,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939278,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939082,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939163,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939194,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
939198,GB Sales Text,MDG,Production & launch,YMUX0031,25-Aug-25,Aug-25
